Date,traffic,V1&V2,V3,V4,V5&V6&V7
2015-04-03,12682,8243,2409,887,1857
2015-04-04,11245,7309,2136,787,1647
2015-04-05,8902,5786,1691,623,1304
2015-04-06,10765,6997,2045,753,1577
2015-04-07,6653,4324,1264,465,974
2015-04-08,11859,7708,2253,830,1737
2015-04-09,13208,8585,2509,924,1934
2015-04-10,9717,6316,1846,680,1423
2015-04-11,8671,5636,1647,606,1270
2015-04-12,9844,6398,1870,689,1442
2015-04-13,8501,5525,1615,595,1245
2015-04-14,10872,7066,2065,761,1592
2015-04-15,10952,7118,2080,766,1604
2015-04-16,10503,6826,1995,735,1538
2015-04-17,11307,7349,2148,791,1656
2015-04-18,12240,7956,2325,856,1793
2015-04-19,11147,7245,2117,780,1633
2015-04-20,11195,7276,2127,783,1640
2015-04-21,11021,7163,2093,771,1614
2015-04-22,9881,6422,1877,691,1447
2015-04-23,10155,6600,1929,710,1487
2015-04-24,11017,7161,2093,771,1613
2015-04-25,11648,7571,2213,815,1706
2015-04-26,10830,7039,2057,758,1586
2015-04-27,10431,6780,1981,730,1528
2015-04-28,10010,6506,1901,700,1466
2015-04-29,10810,7026,2053,756,1583
2015-04-30,11323,7359,2151,792,1658
2015-05-01,12138,7889,2306,849,1778
2015-05-02,11470,7455,2179,802,1680
2015-05-03,12154,7900,2309,850,1780
2015-05-04,10706,6958,2034,749,1568
2015-05-05,10913,7093,2073,763,1598
2015-05-06,10545,6854,2003,738,1544
2015-05-07,10262,6670,1949,718,1503
2015-05-08,11298,7343,2146,790,1655
2015-05-09,10564,6866,2007,739,1547
2015-05-10,9424,6125,1790,659,1380
2015-05-11,10323,6709,1961,722,1512
2015-05-12,10963,7125,2082,767,1606
2015-05-13,10700,6955,2033,749,1567
2015-05-14,10567,6868,2007,739,1548
2015-05-15,11018,7161,2093,771,1614
2015-05-16,11404,7412,2166,798,1670
2015-05-17,10270,6675,1951,718,1504
2015-05-18,10239,6655,1945,716,1500
2015-05-19,10737,6979,2040,751,1572
2015-05-20,10618,6901,2017,743,1555
2015-05-21,10990,7143,2088,769,1610
2015-05-22,8721,5668,1656,610,1277
2015-05-23,9627,6257,1829,673,1410
2015-05-24,8031,5220,1525,562,1176
2015-05-25,8351,5428,1586,584,1223
2015-05-26,9916,6445,1884,694,1452
2015-05-27,10950,7117,2080,766,1604
2015-05-28,9687,6296,1840,678,1419
2015-05-29,10796,7017,2051,755,1581
2015-05-30,11091,7209,2107,776,1624
2015-05-31,10424,6775,1980,729,1527
2015-06-01,10887,7076,2068,762,1594
2015-06-02,11040,7176,2097,772,1617
2015-06-03,11562,7515,2196,809,1693
2015-06-04,11550,7507,2194,808,1692
2015-06-05,12003,7801,2280,840,1758
2015-06-06,12092,7859,2297,846,1771
2015-06-07,10759,6993,2044,753,1576
2015-06-08,11027,7167,2095,771,1615
2015-06-09,11418,7421,2169,799,1672
2015-06-10,11678,7590,2218,817,1710
2015-06-11,11571,7521,2198,809,1695
2015-06-12,12323,8009,2341,862,1805
2015-06-13,12616,8200,2397,883,1848
2015-06-14,10775,7003,2047,754,1578
2015-06-15,11606,7543,2205,812,1700
2015-06-16,11778,7655,2237,824,1725
2015-06-17,12075,7848,2294,845,1768
2015-06-18,11858,7707,2253,830,1737
2015-06-19,11787,7661,2239,825,1726
2015-06-20,12245,7959,2326,857,1793
2015-06-21,10008,6505,1901,700,1466
2015-06-22,11681,7592,2219,817,1711
2015-06-23,11484,7464,2181,803,1682
2015-06-24,11730,7624,2228,821,1718
2015-06-25,12580,8177,2390,880,1842
2015-06-26,12549,8156,2384,878,1838
2015-06-27,12457,8097,2366,871,1824
2015-06-28,10020,6513,1903,701,1467
2015-06-29,11637,7564,2211,814,1704
2015-06-30,11829,7688,2247,828,1732
2015-07-01,11739,7630,2230,821,1719
2015-07-02,11915,7744,2263,834,1745
2015-07-03,13547,8805,2573,948,1984
2015-07-04,14898,9683,2830,1042,2182
2015-07-05,11442,7437,2173,800,1676
2015-07-06,13027,8467,2475,911,1908
2015-07-07,12977,8435,2465,908,1901
2015-07-08,11890,7728,2259,832,1741
2015-07-09,11844,7698,2250,829,1735
2015-07-10,12514,8134,2377,875,1833
2015-07-11,12467,8103,2368,872,1826
2015-07-12,10943,7112,2079,766,1603
2015-07-13,11823,7684,2246,827,1732
2015-07-14,11693,7600,2221,818,1713
2015-07-15,11669,7584,2217,816,1709
2015-07-16,11912,7742,2263,833,1745
2015-07-17,10111,6572,1921,707,1481
2015-07-18,12068,7844,2292,844,1767
2015-07-19,12471,8106,2369,872,1827
2015-07-20,11848,7701,2251,829,1735
2015-07-21,11794,7666,2240,825,1727
2015-07-22,12259,7968,2329,858,1795
2015-07-23,12345,8024,2345,864,1808
2015-07-24,14461,9399,2747,1012,2118
2015-07-25,14554,9460,2765,1018,2132
2015-07-26,11924,7750,2265,834,1746
2015-07-27,14553,9459,2765,1018,2132
2015-07-28,12002,7801,2280,840,1758
2015-07-29,11864,7711,2254,830,1738
2015-07-30,12718,8266,2416,890,1863
2015-07-31,12642,8217,2401,884,1852
2015-08-01,13194,8576,2506,923,1932
2015-08-02,12918,8396,2454,904,1892
2015-08-03,12306,7998,2338,861,1802
2015-08-04,12213,7938,2320,854,1789
2015-08-05,12087,7856,2296,846,1770
2015-08-06,12383,8048,2352,866,1814
2015-08-07,12150,7897,2308,850,1779
2015-08-08,12954,8420,2461,906,1897
2015-08-09,11850,7702,2251,829,1736
2015-08-10,12279,7981,2333,859,1798
2015-08-11,12531,8145,2380,877,1835
2015-08-12,11962,7775,2272,837,1752
2015-08-13,12010,7806,2281,840,1759
2015-08-14,13035,8472,2476,912,1909
2015-08-15,13163,8555,2500,921,1928
2015-08-16,11659,7578,2215,816,1708
2015-08-17,12828,8338,2437,897,1879
2015-08-18,12319,8007,2340,862,1804
2015-08-19,12616,8200,2397,883,1848
2015-08-20,12579,8176,2390,880,1842
2015-08-21,13608,8845,2585,952,1993
2015-08-22,12855,8355,2442,899,1883
2015-08-23,13150,8547,2498,920,1926
2015-08-24,13199,8579,2507,923,1933
2015-08-25,12882,8373,2447,901,1887
2015-08-26,13522,8789,2569,946,1980
2015-08-27,13368,8689,2539,935,1958
2015-08-28,13916,9045,2644,974,2038
2015-08-29,14685,9545,2790,1027,2151
2015-08-30,13148,8546,2498,920,1926
2015-08-31,13042,8477,2477,912,1910
2015-09-01,11473,7457,2179,803,1680
2015-09-02,13354,8680,2537,934,1956
2015-09-03,13899,9034,2640,972,2036
2015-09-04,14458,9397,2747,1012,2118
2015-09-05,14848,9651,2821,1039,2175
2015-09-06,13119,8527,2492,918,1921
2015-09-07,13249,8611,2517,927,1940
2015-09-08,13830,8989,2627,968,2026
2015-09-09,14124,9180,2683,988,2069
2015-09-10,14277,9280,2712,999,2091
2015-09-11,12839,8345,2439,898,1880
2015-09-12,15345,9974,2915,1074,2248
2015-09-13,9356,6081,1777,654,1370
2015-09-14,11811,7677,2244,826,1730
2015-09-15,13304,8647,2527,931,1949
2015-09-16,13268,8624,2520,928,1943
2015-09-17,13265,8622,2520,928,1943
2015-09-18,13179,8566,2504,922,1930
2015-09-19,13677,8890,2598,957,2003
2015-09-20,12968,8429,2463,907,1899
2015-09-21,12999,8449,2469,909,1904
2015-09-22,13197,8578,2507,923,1933
2015-09-23,13853,9004,2632,969,2029
2015-09-24,10829,7038,2057,758,1586
2015-09-25,13156,8551,2499,920,1927
2015-09-26,14115,9174,2681,988,2067
2015-09-27,10685,6945,2030,747,1565
2015-09-28,17864,11611,3394,1250,2617
2015-09-29,12561,8164,2386,879,1840
2015-09-30,13502,8776,2565,945,1978
2015-10-01,13353,8679,2537,934,1956
2015-10-02,13574,8823,2579,950,1988
2015-10-03,14293,9290,2715,1000,2093
2015-10-04,15832,10290,3008,1108,2319
2015-10-05,13282,8633,2523,929,1945
2015-10-06,13533,8796,2571,947,1982
2015-10-07,13363,8685,2538,935,1957
2015-10-08,13743,8932,2611,962,2013
2015-10-09,13841,8996,2629,968,2027
2015-10-10,14363,9335,2728,1005,2104
2015-10-11,12612,8197,2396,882,1847
2015-10-12,12890,8378,2449,902,1888
2015-10-13,13190,8573,2506,923,1932
2015-10-14,13523,8789,2569,946,1981
2015-10-15,13908,9040,2642,973,2037
2015-10-16,14098,9163,2678,986,2065
2015-10-17,13855,9005,2632,969,2029
2015-10-18,12488,8117,2372,874,1829
2015-10-19,12902,8386,2451,903,1890
2015-10-20,13262,8620,2519,928,1942
2015-10-21,13523,8789,2569,946,1981
2015-10-22,13726,8921,2607,960,2010
2015-10-23,14507,9429,2756,1015,2125
2015-10-24,14536,9448,2761,1017,2129
2015-10-25,12716,8265,2416,890,1862
2015-10-26,12962,8425,2462,907,1898
2015-10-27,13436,8733,2552,940,1968
2015-10-28,13047,8480,2478,913,1911
2015-10-29,13516,8785,2568,946,1980
2015-10-30,13380,8697,2542,936,1960
2015-10-31,13658,8877,2595,956,2000
2015-11-01,12187,7921,2315,853,1785
2015-11-02,12500,8125,2375,875,1831
2015-11-03,12729,8273,2418,891,1864
2015-11-04,12612,8197,2396,882,1847
2015-11-05,12814,8329,2434,896,1877
2015-11-06,13655,8875,2594,955,2000
2015-11-07,12831,8340,2437,898,1879
2015-11-08,12202,7931,2318,854,1787
2015-11-09,12463,8100,2367,872,1825
2015-11-10,12835,8342,2438,898,1880
2015-11-11,14965,9727,2843,1047,2192
2015-11-12,13198,8578,2507,923,1933
2015-11-13,13547,8805,2573,948,1984
2015-11-14,14181,9217,2694,992,2077
2015-11-15,12574,8173,2389,880,1842
2015-11-16,12874,8368,2446,901,1886
2015-11-17,13072,8496,2483,915,1915
2015-11-18,13355,8680,2537,934,1956
2015-11-19,13442,8737,2553,940,1969
2015-11-20,14226,9246,2702,995,2084
2015-11-21,14339,9320,2724,1003,2100
2015-11-22,11435,7432,2172,800,1675
2015-11-23,13400,8710,2546,938,1963
2015-11-24,13390,8703,2544,937,1961
2015-11-25,13055,8485,2480,913,1912
2015-11-26,13499,8774,2564,944,1977
2015-11-27,14099,9164,2678,986,2065
2015-11-28,13842,8997,2629,968,2027
2015-11-29,11692,7599,2221,818,1712
2015-11-30,12665,8232,2406,886,1855
2015-12-01,12392,8054,2354,867,1815
2015-12-02,13463,8750,2557,942,1972
2015-12-03,13406,8713,2547,938,1963
2015-12-04,13495,8771,2564,944,1977
2015-12-05,13752,8938,2612,962,2014
2015-12-06,12081,7852,2295,845,1769
2015-12-07,12941,8411,2458,905,1895
2015-12-08,13262,8620,2519,928,1942
2015-12-09,12853,8354,2442,899,1882
2015-12-10,13083,8503,2485,915,1916
2015-12-11,15026,9766,2854,1051,2201
2015-12-12,13225,8596,2512,925,1937
2015-12-13,11338,7369,2154,793,1661
2015-12-14,12580,8177,2390,880,1842
2015-12-15,12540,8151,2382,877,1837
2015-12-16,12541,8151,2382,877,1837
2015-12-17,12546,8154,2383,878,1837
2015-12-18,12662,8230,2405,886,1854
2015-12-19,12374,8043,2351,866,1812
2015-12-20,10139,6590,1926,709,1485
2015-12-21,11929,7753,2266,835,1747
2015-12-22,12591,8184,2392,881,1844
2015-12-23,10890,7078,2069,762,1595
2015-12-24,12587,8181,2391,881,1843
2015-12-25,13494,8771,2563,944,1976
2015-12-26,13610,8846,2585,952,1993
2015-12-27,12631,8210,2399,884,1850
2015-12-28,13947,9065,2649,976,2043
2015-12-29,12855,8355,2442,899,1883
2015-12-30,16366,10637,3109,1145,2397
2015-12-31,14395,9356,2735,1007,2108
2016-01-01,14688,9547,2790,1028,2151
2016-01-02,14086,9155,2676,986,2063
2016-01-03,12099,7864,2298,846,1772
2016-01-04,13924,9050,2645,974,2039
2016-01-05,15006,9753,2851,1050,2198
2016-01-06,15338,9969,2914,1073,2247
2016-01-07,16269,10574,3091,1138,2383
2016-01-08,11391,7404,2164,797,1668
2016-01-09,13656,8876,2594,955,2000
2016-01-10,13703,8906,2603,959,2007
2016-01-11,13826,8986,2626,967,2025
2016-01-12,13962,9075,2652,977,2045
2016-01-13,13209,8585,2509,924,1935
2016-01-14,14001,9100,2660,980,2051
2016-01-15,13835,8992,2628,968,2026
2016-01-16,14300,9295,2717,1001,2094
2016-01-17,13301,8645,2527,931,1948
2016-01-18,13402,8711,2546,938,1963
2016-01-19,12804,8322,2432,896,1875
2016-01-20,16995,11046,3229,1189,2489
2016-01-21,11160,7254,2120,781,1634
2016-01-22,13679,8891,2599,957,2003
2016-01-23,14251,9263,2707,997,2087
2016-01-24,12670,8235,2407,886,1856
2016-01-25,13200,8580,2508,924,1933
2016-01-26,13700,8905,2603,959,2007
2016-01-27,13604,8842,2584,952,1992
2016-01-28,13860,9009,2633,970,2030
2016-01-29,14638,9514,2781,1024,2144
2016-01-30,14483,9413,2751,1013,2121
2016-01-31,13195,8576,2507,923,1933
2016-02-01,14103,9166,2679,987,2066
2016-02-02,14130,9184,2684,989,2070
2016-02-03,14119,9177,2682,988,2068
2016-02-04,14434,9382,2742,1010,2114
2016-02-05,15154,9850,2879,1060,2220
2016-02-06,14218,9241,2701,995,2082
2016-02-07,14923,9699,2835,1044,2186
2016-02-08,13994,9096,2658,979,2050
2016-02-09,13966,9077,2653,977,2046
2016-02-10,13997,9098,2659,979,2050
2016-02-11,13697,8903,2602,958,2006
2016-02-12,15219,9892,2891,1065,2229
2016-02-13,15787,10261,2999,1105,2312
2016-02-14,14358,9332,2728,1005,2103
2016-02-15,13765,8947,2615,963,2016
2016-02-16,13332,8665,2533,933,1953
2016-02-17,13667,8883,2596,956,2002
2016-02-18,13598,8838,2583,951,1992
2016-02-19,13911,9042,2643,973,2037
2016-02-20,14337,9319,2724,1003,2100
2016-02-21,12793,8315,2430,895,1874
2016-02-22,12990,8443,2468,909,1903
2016-02-23,13079,8501,2485,915,1916
2016-02-24,13537,8799,2572,947,1983
2016-02-25,13488,8767,2562,944,1975
2016-02-26,14069,9144,2673,984,2061
2016-02-27,14353,9329,2727,1004,2102
2016-02-28,14122,9179,2683,988,2068
2016-02-29,13419,8722,2549,939,1965
2016-03-01,14233,9251,2704,996,2085
2016-03-02,13092,8509,2487,916,1917
2016-03-03,14235,9252,2704,996,2085
2016-03-04,14976,9734,2845,1048,2193
2016-03-05,15448,10041,2935,1081,2263
2016-03-06,11895,7731,2260,832,1742
2016-03-07,13929,9053,2646,975,2040
2016-03-08,14205,9233,2698,994,2081
2016-03-09,13973,9082,2654,978,2047
2016-03-10,14293,9290,2715,1000,2093
2016-03-11,14778,9605,2807,1034,2164
2016-03-12,14862,9660,2823,1040,2177
2016-03-13,12259,7968,2329,858,1795
2016-03-14,13927,9052,2646,974,2040
2016-03-15,13936,9058,2647,975,2041
2016-03-16,14202,9231,2698,994,2080
2016-03-17,14149,9196,2688,990,2072
2016-03-18,14806,9623,2813,1036,2169
2016-03-19,14300,9295,2717,1001,2094
2016-03-20,12298,7993,2336,860,1801
2016-03-21,13357,8682,2537,934,1956
2016-03-22,13398,8708,2545,937,1962
2016-03-23,14056,9136,2670,983,2059
2016-03-24,13963,9075,2652,977,2045
2016-03-25,14746,9584,2801,1032,2160
2016-03-26,14440,9386,2743,1010,2115
2016-03-27,12195,7926,2317,853,1786
2016-03-28,13653,8874,2594,955,2000
2016-03-29,14084,9154,2675,985,2063
2016-03-30,14398,9358,2735,1007,2109
2016-03-31,14058,9137,2671,984,2059
2016-04-01,14598,9488,2773,1021,2138
2016-04-02,15995,10396,3039,1119,2343
2016-04-03,18934,12307,3597,1325,2773
2016-04-04,14459,9398,2747,1012,2118
2016-04-05,13938,9059,2648,975,2041
2016-04-06,14485,9415,2752,1013,2122
2016-04-07,14654,9525,2784,1025,2146
2016-04-08,15130,9834,2874,1059,2216
2016-04-09,15036,9773,2856,1052,2202
2016-04-10,12011,7807,2282,840,1759
2016-04-11,14507,9429,2756,1015,2125
2016-04-12,14539,9450,2762,1017,2129
2016-04-13,14402,9361,2736,1008,2109
2016-04-14,14285,9285,2714,999,2092
2016-04-15,14960,9724,2842,1047,2191
2016-04-16,14743,9582,2801,1032,2159
2016-04-17,12220,7943,2321,855,1790
2016-04-18,14112,9172,2681,987,2067
2016-04-19,14793,9615,2810,1035,2167
2016-04-20,15190,9873,2886,1063,2225
2016-04-21,15487,10066,2942,1084,2268
2016-04-22,16417,10671,3119,1149,2405
2016-04-23,16338,10619,3104,1143,2393
2016-04-24,12028,7818,2285,841,1762
2016-04-25,15194,9876,2886,1063,2225
2016-04-26,16449,10691,3125,1151,2409
2016-04-27,17200,11180,3268,1204,2519
2016-04-28,18455,11995,3506,1291,2703
2016-04-29,13039,8475,2477,912,1910
2016-04-30,11752,7638,2232,822,1721
2016-05-01,15953,10369,3031,1116,2337
2016-05-02,11605,7543,2204,812,1700
2016-05-03,14971,9731,2844,1047,2193
2016-05-04,16004,10402,3040,1120,2344
2016-05-05,15350,9977,2916,1074,2248
2016-05-06,16262,10570,3089,1138,2382
2016-05-07,17331,11265,3292,1213,2538
2016-05-08,16339,10620,3104,1143,2393
2016-05-09,15705,10208,2983,1099,2300
2016-05-10,15733,10226,2989,1101,2304
2016-05-11,15419,10022,2929,1079,2258
2016-05-12,15161,9854,2880,1061,2221
2016-05-13,16325,10611,3101,1142,2391
2016-05-14,17294,11241,3285,1210,2533
2016-05-15,15692,10199,2981,1098,2298
2016-05-16,16433,10681,3122,1150,2407
2016-05-17,15969,10379,3034,1117,2339
2016-05-18,15981,10387,3036,1118,2341
2016-05-19,16044,10428,3048,1123,2350
2016-05-20,17025,11066,3234,1191,2494
2016-05-21,17264,11221,3280,1208,2529
2016-05-22,14761,9594,2804,1033,2162
2016-05-23,16083,10453,3055,1125,2356
2016-05-24,16328,10613,3102,1142,2392
2016-05-25,15794,10266,3000,1105,2313
2016-05-26,15967,10378,3033,1117,2339
2016-05-27,16918,10996,3214,1184,2478
2016-05-28,16620,10803,3157,1163,2434
2016-05-29,14536,9448,2761,1017,2129
2016-05-30,16544,10753,3143,1158,2423
2016-05-31,16887,10976,3208,1182,2473
2016-06-01,16977,11035,3225,1188,2487
2016-06-02,16864,10961,3204,1180,2470
2016-06-03,17688,11497,3360,1238,2591
2016-06-04,18247,11860,3466,1277,2673
2016-06-05,15206,9883,2889,1064,2227
2016-06-06,16032,10420,3046,1122,2348
2016-06-07,16270,10575,3091,1138,2383
2016-06-08,16541,10751,3142,1157,2423
2016-06-09,16581,10777,3150,1160,2429
2016-06-10,16816,10930,3195,1177,2463
2016-06-11,17155,11150,3259,1200,2513
2016-06-12,14642,9517,2781,1024,2145
2016-06-13,16241,10556,3085,1136,2379
2016-06-14,16473,10707,3129,1153,2413
2016-06-15,16747,10885,3181,1172,2453
2016-06-16,16435,10682,3122,1150,2407
2016-06-17,17357,11282,3297,1214,2542
2016-06-18,16997,11048,3229,1189,2490
2016-06-19,13092,8509,2487,916,1917
2016-06-20,16222,10544,3082,1135,2376
2016-06-21,16300,10595,3097,1141,2387
2016-06-22,16665,10832,3166,1166,2441
2016-06-23,16403,10661,3116,1148,2403
